Block,Point,Points_0,Points_1,Points_2,Points_Magnitude,ids,,r0,r1,t0,t1,vol
block_2,723,25.025,0.39375,0,25.0281,12961,,,,,,
block_2,720,25.025,0.3375,0,25.0273,3348,,,,,,
block_2,719,25.025,0.28125,0,25.0266,12958,,,,,,
block_2,706,25.025,0.225,0,25.026,3346,,,,,,
block_2,705,25.025,0.16875,0,25.0256,12948,,,,,,
block_2,702,25.025,0.1125,0,25.0253,3344,,,,,,
block_2,700,25.025,0.05625,0,25.0251,12945,,,,,,
block_2,701,25.025,0,0,25.025,3345,,,,,,
block_2,1046,24.9625,1.8,0,25.0273,13202,,,,,,
block_2,1045,24.9625,1.74375,0,25.0233,13201,,,,,,
block_2,1042,24.9625,1.6875,0,25.0195,13199,,,,,,
block_2,1041,24.9625,1.63125,0,25.0157,13198,,,,,,
block_2,1030,24.9625,1.575,0,25.0121,13190,,,,,,
block_2,1029,24.9625,1.51875,0,25.0087,13189,,,,,,
block_2,1026,24.9625,1.4625,0,25.0053,13187,,,,,,
block_2,1025,24.9625,1.40625,0,25.0021,13186,,,,,,
block_2,982,24.9625,1.35,0,24.999,13154,,,,,,
block_2,981,24.9625,1.29375,0,24.996,13153,,,,,,
block_2,978,24.9625,1.2375,0,24.9932,13151,,,,,,
block_2,977,24.9625,1.18125,0,24.9904,13150,,,,,,
block_2,966,24.9625,1.125,0,24.9878,13142,,,,,,
block_2,965,24.9625,1.06875,0,24.9854,13141,,,,,,
block_2,962,24.9625,1.0125,0,24.983,13139,,,,,,
block_2,961,24.9625,0.95625,0,24.9808,13138,,,,,,
block_2,790,24.9625,0.9,0,24.9787,13010,,,,,,
block_2,789,24.9625,0.84375,0,24.9768,13009,,,,,,
block_2,786,24.9625,0.7875,0,24.9749,13007,,,,,,
block_2,785,24.9625,0.73125,0,24.9732,13006,,,,,,
block_2,774,24.9625,0.675,0,24.9716,12998,,,,,,
block_2,773,24.9625,0.61875,0,24.9702,12997,,,,,,
block_2,770,24.9625,0.5625,0,24.9688,12995,,,,,,
block_2,769,24.9625,0.50625,0,24.9676,12994,,,,,,
block_2,722,24.9625,0.45,0,24.9666,12960,,,,,,
block_2,721,24.9625,0.39375,0,24.9656,12959,,,,,,
block_2,718,24.9625,0.3375,0,24.9648,12957,,,,,,
block_2,717,24.9625,0.28125,0,24.9641,12956,,,,,,
block_2,704,24.9625,0.225,0,24.9635,12947,,,,,,
block_2,703,24.9625,0.16875,0,24.9631,12946,,,,,,
block_2,699,24.9625,0.1125,0,24.9628,12944,,,,,,
block_2,697,24.9625,0.05625,0,24.9626,12942,,,,,,
block_2,698,24.9625,0,0,24.9625,12943,,,,,,
block_2,960,24.9,1.8,0,24.965,254,,,,,,
block_2,959,24.9,1.74375,0,24.961,13137,,,,,,
block_2,956,24.9,1.6875,0,24.9571,3393,,,,,,
block_2,955,24.9,1.63125,0,24.9534,13134,,,,,,
block_2,944,24.9,1.575,0,24.9498,903,,,,,,
block_2,943,24.9,1.51875,0,24.9463,13125,,,,,,
block_2,940,24.9,1.4625,0,24.9429,3390,,,,,,
block_2,939,24.9,1.40625,0,24.9397,13122,,,,,,
block_2,896,24.9,1.35,0,24.9366,253,,,,,,
block_2,895,24.9,1.29375,0,24.9336,13089,,,,,,
block_2,892,24.9,1.2375,0,24.9307,3381,,,,,,
block_2,891,24.9,1.18125,0,24.928,13086,,,,,,
block_2,880,24.9,1.125,0,24.9254,900,,,,,,
block_2,879,24.9,1.06875,0,24.9229,13077,,,,,,
block_2,876,24.9,1.0125,0,24.9206,3378,,,,,,
block_2,875,24.9,0.95625,0,24.9184,13074,,,,,,
block_2,696,24.9,0.9,0,24.9163,251,,,,,,
block_2,695,24.9,0.84375,0,24.9143,12941,,,,,,
block_2,692,24.9,0.7875,0,24.9124,3343,,,,,,
block_2,691,24.9,0.73125,0,24.9107,12938,,,,,,
block_2,680,24.9,0.675,0,24.9091,890,,,,,,
block_2,679,24.9,0.61875,0,24.9077,12929,,,,,,
block_2,676,24.9,0.5625,0,24.9064,3340,,,,,,
block_2,675,24.9,0.50625,0,24.9051,12926,,,,,,
block_2,632,24.9,0.45,0,24.9041,249,,,,,,
block_2,631,24.9,0.39375,0,24.9031,12893,,,,,,
block_2,628,24.9,0.3375,0,24.9023,3331,,,,,,
block_2,627,24.9,0.28125,0,24.9016,12890,,,,,,
block_2,616,24.9,0.225,0,24.901,887,,,,,,
block_2,615,24.9,0.16875,0,24.9006,12881,,,,,,
block_2,612,24.9,0.1125,0,24.9003,3328,,,,,,
block_2,610,24.9,0.05625,0,24.9001,12878,,,,,,
block_2,611,24.9,0,0,24.9,250,,,,,,
block_2,958,24.8375,1.8,0,24.9026,13136,,,,,,
block_2,957,24.8375,1.74375,0,24.8986,13135,,,,,,
block_2,954,24.8375,1.6875,0,24.8948,13133,,,,,,
block_2,953,24.8375,1.63125,0,24.891,13132,,,,,,
block_2,942,24.8375,1.575,0,24.8874,13124,,,,,,
block_2,941,24.8375,1.51875,0,24.8839,13123,,,,,,
block_2,938,24.8375,1.4625,0,24.8805,13121,,,,,,
block_2,937,24.8375,1.40625,0,24.8773,13120,,,,,,
block_2,894,24.8375,1.35,0,24.8742,13088,,,,,,
block_2,893,24.8375,1.29375,0,24.8712,13087,,,,,,
block_2,890,24.8375,1.2375,0,24.8683,13085,,,,,,
block_2,889,24.8375,1.18125,0,24.8656,13084,,,,,,
block_2,878,24.8375,1.125,0,24.863,13076,,,,,,
block_2,877,24.8375,1.06875,0,24.8605,13075,,,,,,
block_2,874,24.8375,1.0125,0,24.8581,13073,,,,,,
block_2,873,24.8375,0.95625,0,24.8559,13072,,,,,,
block_2,694,24.8375,0.9,0,24.8538,12940,,,,,,
